class,symbol,ts,weekday,open,close,volume
us_stocks,APC,2016-07-24,Sunday,52.0065534,51.75675,4483269.0
us_stocks,APC,2016-07-31,Sunday,51.76636,49.81599,6163435.0
us_stocks,APC,2016-08-07,Sunday,51.23794,50.96892,4532868.0
us_stocks,APC,2016-08-14,Sunday,52.76556,52.45811,2877512.0
us_stocks,APC,2016-08-21,Sunday,51.92969,52.14106,3158955.0
us_stocks,APC,2016-08-28,Sunday,52.76556,54.014566,2521409.0
us_stocks,APC,2016-09-11,Sunday,54.97534,55.52298,3139417.0
us_stocks,APC,2016-09-18,Sunday,55.89768,55.26357,4816145.0
us_stocks,APC,2016-09-25,Sunday,57.33883,56.24355,5942349.0
us_stocks,APC,2016-10-02,Sunday,60.70153,60.93212,4690830.0
us_stocks,APC,2016-10-09,Sunday,61.76799,61.86407,3255747.0
us_stocks,APC,2016-10-16,Sunday,60.74957,60.057815,3829603.0
us_stocks,APC,2016-10-23,Sunday,60.9129,60.51899,3030534.0
us_stocks,APC,2016-10-30,Sunday,59.049005,57.10825,5883774.0
us_stocks,APC,2016-11-06,Sunday,57.60785,57.84804,5216600.0
us_stocks,APC,2016-11-13,Sunday,58.45333,58.12667,3796591.0
us_stocks,APC,2016-11-20,Sunday,60.40369,61.51819,4781838.0
us_stocks,APC,2016-11-27,Sunday,62.037005,59.56782,4091864.0
us_stocks,APC,2016-12-04,Sunday,66.77361,65.61108,3998465.0
us_stocks,APC,2016-12-11,Sunday,70.059444,68.013004,4777631.0
us_stocks,APC,2016-12-18,Sunday,68.16672,68.57025,2698138.0
us_stocks,APC,2017-01-08,Sunday,68.21476,67.23478,4167751.0
us_stocks,APC,2017-01-22,Sunday,66.85047,67.11949,2592341.0
us_stocks,APC,2017-01-29,Sunday,67.013801,66.12989,4463010.0
us_stocks,APC,2017-02-05,Sunday,67.73438,66.3893,3189781.0
us_stocks,APC,2017-02-12,Sunday,66.15871,65.46696,3069435.0
us_stocks,APC,2017-02-26,Sunday,62.5366,62.35406,5338747.0
us_stocks,APC,2017-03-05,Sunday,60.37487,60.76879,4957626.0
us_stocks,APC,2017-03-12,Sunday,59.35645,60.35566,4240161.0
us_stocks,APC,2017-03-19,Sunday,60.1635,60.37487,3419155.0
us_stocks,APC,2017-03-26,Sunday,57.26197,57.58863,3512404.0
us_stocks,APC,2017-04-02,Sunday,59.47175,59.36606,2581435.0
us_stocks,APC,2017-04-09,Sunday,60.24997,60.42291,2239403.0
us_stocks,APC,2017-04-16,Sunday,58.49176,58.80881,3240193.0
us_stocks,APC,2017-04-23,Sunday,57.48295,57.040993,3273916.0
