book,signal,family,horizon,t,null_sd,p_perm
top-20,G_neg_kurt_63,G,1,-0.9152585986596207,0.9774420847268899,0.4583333333333333
top-20,G_neg_kurt_63,G,5,-1.646642274263634,0.9961718599590462,0.125
top-20,G_neg_kurt_63,G,21,-0.7643524703531449,1.0370466145815773,0.4583333333333333
top-20,G_neg_skew_252,G,1,-0.43060713206193185,0.7632968740252118,0.5833333333333334
top-20,G_neg_skew_252,G,5,0.33855053550818026,0.8054249515818834,0.9583333333333334
top-20,G_neg_skew_252,G,21,0.6826564597963483,0.78441978938373,0.4583333333333333
top-20,G_skew_252,G,1,0.43060713206193185,0.7274099275837134,0.5416666666666666
top-20,G_skew_252,G,5,-0.33855053550818026,0.9266197343362884,0.8333333333333334
top-20,G_skew_252,G,21,-0.6826564597963483,0.8411557999319439,0.375
top-20,G_neg_kurt_252,G,1,-1.4020099852426062,0.9886767279014298,0.125
top-20,G_neg_kurt_252,G,5,-1.1231566774131043,0.6642101379438679,0.125
top-20,G_neg_kurt_252,G,21,0.12340463181558131,0.8205547572219325,0.75
top-20,G_neg_max_21,G,1,-1.1627719159460208,0.6599204728111246,0.9166666666666666
top-20,G_neg_max_21,G,5,-1.8561931515612402,0.6313948581944181,0.6666666666666666
top-20,G_neg_max_21,G,21,-1.1642804119078918,0.6378637575279625,0.875
top-20,G_neg_downdays_21,G,1,0.13172303293535342,0.8791928000210678,0.8333333333333334
top-20,G_neg_downdays_21,G,5,0.20984320202227297,0.8034380097185018,0.625
top-20,G_neg_downdays_21,G,21,-0.4663632821182426,0.682058170620854,0.4166666666666667
top-20,G_neg_max_63,G,1,-1.0857251505787235,0.7145139975959663,0.875
top-20,G_neg_max_63,G,5,-2.027921896090075,0.37893406898900883,0.20833333333333334
top-20,G_neg_max_63,G,21,-1.847888579191072,0.6339478116814649,0.4166666666666667
top-20,G_neg_downdays_63,G,1,0.7786926825121873,0.916818072581483,0.4583333333333333
top-20,G_neg_downdays_63,G,5,0.41484044734279285,0.7964983491294835,0.5416666666666666
top-20,G_neg_downdays_63,G,21,-0.6110425700395956,0.5901003296618978,0.2916666666666667
top-20,H_high_prox_126,H,1,0.5154026063245403,0.7458566580031031,0.7083333333333334
top-20,H_high_prox_126,H,5,-0.19444256562640713,1.0416380352625427,0.7916666666666666
