timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
5m,10.0,LINEARREG_INTERCEPT_50,20,-199847.16745610585,-0.9992358372805292,-0.9993472546917953,-0.8705508516265448,-9.73359143259709,-0.9992589929394435,-10.545456480870676,-1.112221599747576,0.0,0.0,0.9864290067926025,1995.6480533907147,4462.8,20,True,False,False
5m,10.0,LINEARREG_INTERCEPT_9,20,-199999.9998289874,-0.9999999991449371,-0.9999999993657027,-0.9973013774667809,-24.270551994935254,-0.999999999162052,-25.08241704320884,-1.2389721255878121,0.0,0.0,0.9870057023580507,5784.541860958003,11232.95,20,True,False,False
5m,10.0,LINEARREG_SLOPE,20,-199997.2517832146,-0.9999862589160731,-0.99998968605852,-0.9582822444015442,-14.967957598792953,-0.9999867362266885,-15.779822647066542,-1.1999529925225754,0.0,0.0,0.9869454505087403,3233.73561403043,6675.0,20,True,False,False
5m,10.0,LN,20,-199999.9961407051,-0.9999999807035256,-0.9999999837323192,-0.9932801861992688,-20.868511755795403,-0.999999981206324,-21.68037680406899,-1.2349509343203002,0.0,0.0,0.9868593765560506,4929.460006044276,9704.9,20,True,True,False
5m,10.0,LOG10,20,-199999.9961407051,-0.9999999807035256,-0.9999999837323192,-0.9932801861992688,-20.868511755795403,-0.999999981206324,-21.68037680406899,-1.2349509343203002,0.0,0.0,0.9868593765560506,4929.460006044276,9704.9,20,True,True,False
5m,10.0,MACD,20,-199998.23062829106,-0.9999911531414553,-0.9999918891246191,-0.9624447266713624,-15.013930788276236,-0.9999913859414388,-15.82579583654982,-1.2041154747923937,0.0,0.0,0.9866585373331083,3252.2045090162337,6708.0,20,True,False,False
5m,10.0,MACDEXT,20,-199996.16752071306,-0.9999808376035654,-0.9999854470457192,-0.9535729836034962,-14.74684100444749,-0.9999812562064984,-15.558706052721078,-1.1952437317245275,0.0,0.0,0.9866585373331083,3112.736368658389,6458.8,20,True,False,False
5m,10.0,MACDFIX,20,-199998.09557033604,-0.9999904778516802,-0.9999912692809751,-0.9616216516668633,-14.925650116012743,-0.9999907309973359,-15.737515164286332,-1.2032923997878946,0.0,0.0,0.9866585373331083,3230.6294816849527,6669.45,20,True,False,False
5m,10.0,MAMA,20,-199885.36739242132,-0.9994268369621067,-0.9995393898295919,-0.8798538122155337,-10.280795822920632,-0.9994454267011633,-11.09266087119422,-1.1215245603365651,0.0,0.0,0.9866728829918898,2133.493169660438,4709.1,20,True,False,False
5m,10.0,MAVP,20,-199999.9960972325,-0.9999999804861626,-0.9999999835971214,-0.9932670068645424,-20.864298068213774,-0.999999980905811,-21.676163116487363,-1.2349377549855736,0.0,0.0,0.9867159199682346,4928.732443515413,9703.6,20,True,False,False
