class,tf,rule,symbol,mult,excess_cagr,ir
us_stocks,1d,ibs,AEE,5.0,-0.03594489885166885,-0.29893599892070905
us_stocks,1d,ibs,AEE,10.0,-0.054263718274140116,-0.4159945453621753
us_stocks,1d,ibs,AEP,0.0,-0.024622493551882396,-0.22539796392666037
us_stocks,1d,ibs,AEP,0.5,-0.02646473957560813,-0.2370133910967975
us_stocks,1d,ibs,AEP,1.0,-0.02830391647806474,-0.24863703152423625
us_stocks,1d,ibs,AEP,2.0,-0.03197308295334533,-0.2719087126434813
us_stocks,1d,ibs,AEP,3.0,-0.03563003296597067,-0.2952125254261808
us_stocks,1d,ibs,AEP,5.0,-0.04290744291768078,-0.3419145959480229
us_stocks,1d,ibs,AEP,10.0,-0.060889954375210165,-0.4591974832604076
us_stocks,1d,ibs,AES,0.0,0.03199111431902768,-0.03325068908258478
us_stocks,1d,ibs,AES,0.5,0.03003448369159445,-0.03967786270238991
us_stocks,1d,ibs,AES,1.0,0.028081208164617122,-0.04610743077326087
us_stocks,1d,ibs,AES,2.0,0.024184699854046032,-0.058973710127142684
us_stocks,1d,ibs,AES,3.0,0.020301544364309754,-0.07184944661794365
us_stocks,1d,ibs,AES,5.0,0.012575112496390206,-0.09762896695965699
us_stocks,1d,ibs,AES,10.0,-0.00651041598658475,-0.16223755634686776
us_stocks,1d,ibs,AET,0.0,0.47290544284885083,0.7678917960460405
us_stocks,1d,ibs,AET,0.5,0.4712757893697961,0.7651309371140737
us_stocks,1d,ibs,AET,1.0,0.4696481490317703,0.7623696055258148
us_stocks,1d,ibs,AET,2.0,0.46639889810023516,0.7568455296502259
us_stocks,1d,ibs,AET,3.0,0.4631576707254157,0.7513195789711243
us_stocks,1d,ibs,AET,5.0,0.4566992095563629,0.7402620955073153
us_stocks,1d,ibs,AET,10.0,0.4406921245291573,0.7125863201517018
us_stocks,1d,ibs,AFL,0.0,0.09723882462766631,0.219387497535441
us_stocks,1d,ibs,AFL,0.5,0.09506413939615599,0.21197011314948874
us_stocks,1d,ibs,AFL,1.0,0.09289328143407771,0.20454982171949748
us_stocks,1d,ibs,AFL,2.0,0.08856302089618051,0.18970058081338753
us_stocks,1d,ibs,AFL,3.0,0.08424799028174568,0.1748399013721591
us_stocks,1d,ibs,AFL,5.0,0.07566340878595801,0.1450847361498765
us_stocks,1d,ibs,AFL,10.0,0.054464821655805684,0.07050562390973569
us_stocks,1d,ibs,AGN,0.0,-0.012392234279962167,-0.27880878220546756
us_stocks,1d,ibs,AGN,0.5,-0.013954349422732881,-0.2808573949815636
us_stocks,1d,ibs,AGN,1.0,-0.015513837679873466,-0.2829060787408216
us_stocks,1d,ibs,AGN,2.0,-0.018624950851994893,-0.2870036576406737
us_stocks,1d,ibs,AGN,3.0,-0.021725608355857462,-0.29110151576780574
us_stocks,1d,ibs,AGN,5.0,-0.027895694039458574,-0.29929805714773894
us_stocks,1d,ibs,AGN,10.0,-0.043140331831162615,-0.3197940771911608
us_stocks,1d,ibs,AIG,0.0,0.04751681811088293,-0.042357079367778626
