class,tf,rule,symbol,floor,mode,cagr,excess_cagr,ir,vol,max_dd,mar,turnover_yr,weight
us_stocks,1d,ibs,ACN,0.4247683235046335,const,0.055920178233800355,-0.055746090365690115,-0.5205272081536797,0.11790221487556297,-0.3690368384739108,0.15153007072423655,0.0,0.4247683235046334
us_stocks,1d,ibs,ADBE,0.0,floor,0.1454879952479753,0.009224900476814568,-0.08815304493815658,0.24581024226057624,-0.5202240839501566,0.2796640904113057,56.45228603463636,0.42931760741364783
us_stocks,1d,ibs,ADBE,0.25,floor,0.14948796875444725,0.013224873983286534,-0.08815304493815643,0.2532019537778007,-0.5533451929860516,0.2701531894544089,42.33921452597727,0.5719882055602359
us_stocks,1d,ibs,ADBE,0.5,floor,0.14928226131033195,0.013019166539171234,-0.08815304493815666,0.27408196226573667,-0.5914243794741317,0.25241140962614206,28.22614301731818,0.7146588037068239
us_stocks,1d,ibs,ADBE,0.75,floor,0.1448629396731964,0.008599844902035692,-0.08815304493815634,0.30569879477653616,-0.6528471372863023,0.2218941179329513,14.11307150865909,0.857329401853412
us_stocks,1d,ibs,ADBE,1.0,floor,0.13626309477116072,0.0,,0.34511407195602106,-0.7190319159754206,0.1895091048723611,0.0,1.0
us_stocks,1d,ibs,ADBE,0.42931760741364783,const,0.07196681559381624,-0.06429627917734448,-0.543213283880209,0.14816354765694045,-0.37590716417729486,0.19144837463079958,0.0,0.42931760741364783
us_stocks,1d,ibs,ADI,0.0,floor,0.21705866055080203,0.07583042580069899,0.15998512186042124,0.22003066598220805,-0.2649104555994616,0.8193661517044448,57.13039157258994,0.4569502948609941
us_stocks,1d,ibs,ADI,0.25,floor,0.2037434004797425,0.06251516572963944,0.15998512186042155,0.22768450128345313,-0.3166621040540417,0.6434094824462214,42.84779367944246,0.5927127211457456
us_stocks,1d,ibs,ADI,0.5,floor,0.18655549232287605,0.045327257572773005,0.1599851218604212,0.24903545989365836,-0.3994036593826903,0.467085085327491,28.56519578629497,0.728475147430497
us_stocks,1d,ibs,ADI,0.75,floor,0.165654182374376,0.02442594762427297,0.15998512186042163,0.280978252631458,-0.5362326312496306,0.3089222339721052,14.282597893147486,0.8642375737152486
us_stocks,1d,ibs,ADI,1.0,floor,0.14122823475010304,0.0,,0.3203600890042943,-0.6642912422359875,0.21259987452902795,0.0,1.0
us_stocks,1d,ibs,ADI,0.4569502948609941,const,0.07581731741790154,-0.0654109173322015,-0.5723956745224336,0.1463886371322066,-0.3523048164994226,0.21520374933059083,0.0,0.45695029486099425
us_stocks,1d,ibs,ADM,0.0,floor,0.13953119820483284,0.034031982825821316,0.03172257086757395,0.2102218295599659,-0.42760886880299154,0.3263056694671079,58.61374743686342,0.4796967144060657
us_stocks,1d,ibs,ADM,0.25,floor,0.13593534165802068,0.030436126279009157,0.03172257086757409,0.21703207420344156,-0.49086163709448605,0.27693209528992885,43.96031057764757,0.6097725358045493
