class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
us_etfs,4h,XLF,MINUS_DM,vector-reference,pessimistic,3273,False,5902.43330655133,5902.433306551487,2.6503152273030958e-14,True,,,,
us_etfs,4h,XLF,MINUS_DM,vector-nautilus,gross,3273,False,7766.604945634348,7766.71,1.3526420667378805e-05,True,1557.0,0.10505436565199489,0.5918825897084657,2.3186107999645174
crypto,1d,ADA/USD,LOG10,vector-reference,gross,3028,False,131155.70405937952,131155.70405938025,5.547572380755368e-15,True,,,,
crypto,1d,ADA/USD,LOG10,vector-reference,binance,3028,False,60490.88370488223,60490.88370488223,0.0,True,,,,
crypto,1d,ADA/USD,LOG10,vector-reference,coinbase,3028,False,1632.6171668961342,1632.6171668961135,1.2673518865828957e-14,True,,,,
crypto,1d,ADA/USD,LOG10,vector-reference,kraken,3028,False,405.8895902322095,405.8895902322083,2.9409766222239134e-15,True,,,,
crypto,1d,ADA/USD,LOG10,vector-nautilus,gross,3028,False,131155.70405937952,130512.78,0.004901990835933814,False,3640.0,642.9240593795257,1.3115570405937953,3.267431099899113
crypto,1d,DOGE/USD,TRIMA_1000,vector-reference,gross,2350,False,9468.287303635425,9468.287303635485,6.339758014521292e-15,True,,,,
crypto,1d,DOGE/USD,TRIMA_1000,vector-reference,binance,2350,False,9366.927201468741,9366.92720146882,8.350288485236308e-15,True,,,,
crypto,1d,DOGE/USD,TRIMA_1000,vector-reference,coinbase,2350,False,8908.084524833275,8908.084524833284,1.0209767310104745e-15,True,,,,
crypto,1d,DOGE/USD,TRIMA_1000,vector-reference,kraken,2350,False,8737.396422528022,8737.396422528076,6.245531216333036e-15,True,,,,
crypto,1d,DOGE/USD,TRIMA_1000,vector-nautilus,gross,2350,False,9468.287303635425,9463.91,0.0004623120840180198,False,1448.0,4.377303635425051,0.5707889277132133,0.8127198000438511
crypto,1d,LINK/USD,EMA_50,vector-reference,gross,2611,False,923.2272508085905,923.2272508085891,1.4776882413994492e-15,True,,,,
crypto,1d,LINK/USD,EMA_50,vector-reference,binance,2611,False,591.0213794412755,591.0213794412686,1.1733749983079449e-14,True,,,,
crypto,1d,LINK/USD,EMA_50,vector-reference,coinbase,2611,False,73.7015893560807,73.70158935608082,1.5425289836335965e-15,True,,,,
crypto,1d,LINK/USD,EMA_50,vector-reference,kraken,2611,False,33.04647256708986,33.0464725670898,1.7201054891836484e-15,True,,,,
crypto,1d,LINK/USD,EMA_50,vector-nautilus,gross,2611,False,923.2272508085905,923.07,0.00017032730397929907,True,2814.0,0.15725080859044738,0.7957072325924907,2.5262596998363733
crypto,4h,ETH/USD,CDLPIERCING,vector-reference,gross,14409,False,10601.080908356234,10601.080908356218,1.544267492478854e-15,True,,,,
crypto,4h,ETH/USD,CDLPIERCING,vector-reference,binance,14409,False,10257.875536266965,10257.875536266969,3.54652266371292e-16,True,,,,
crypto,4h,ETH/USD,CDLPIERCING,vector-reference,coinbase,14409,False,8802.083039219502,8802.083039219484,2.0665442434943827e-15,True,,,,
crypto,4h,ETH/USD,CDLPIERCING,vector-reference,kraken,14409,False,8300.03245360238,8300.03245360238,0.0,True,,,,
crypto,4h,ETH/USD,CDLPIERCING,vector-nautilus,gross,14409,False,10601.080908356234,10601.07,1.0289852826350814e-06,True,60.0,0.010908356234722305,0.1161895003862225,0.7081524999812245
crypto,4h,VET/USD,TYPPRICE,vector-reference,gross,14404,False,4.375901194847556,4.375901194847567,2.638615211352787e-15,True,,,,
crypto,4h,VET/USD,TYPPRICE,vector-reference,binance,14404,False,2.060915214178505e-07,2.0609152141782642e-07,1.1687768265201742e-13,True,,,,
crypto,4h,VET/USD,TYPPRICE,vector-reference,coinbase,14404,False,1.3454225305305094e-41,1.3454225305301587e-41,3.507351151549207e-42,True,,,,
crypto,4h,VET/USD,TYPPRICE,vector-reference,kraken,14404,False,9.198868224337167e-55,9.198868224336042e-55,1.1243531144271246e-55,True,,,,
crypto,4h,VET/USD,TYPPRICE,vector-nautilus,gross,14404,False,4.375901194847556,1.87,0.5726594553364577,False,21646.0,2.5059011948475556,2.206886947716171,159.46366799995303
crypto,4h,BTC/USD,VAR,vector-reference,gross,14422,False,1954.1551454294215,1954.15514542944,9.424670172159983e-15,True,,,,
crypto,4h,BTC/USD,VAR,vector-reference,binance,14422,False,10.416000580879565,10.416000580879606,3.922446719252732e-15,True,,,,
crypto,4h,BTC/USD,VAR,vector-reference,coinbase,14422,False,2.58278222172813e-10,2.582782221728026e-10,4.023357586163398e-14,True,,,,
crypto,4h,BTC/USD,VAR,vector-reference,kraken,14422,False,2.1281663847025455e-14,2.1281663847025004e-14,4.512284377864188e-16,True,,,,
crypto,4h,BTC/USD,VAR,vector-nautilus,gross,14422,False,1954.1551454294215,1955.56,0.0007189063641462933,True,21245.0,1.4048545705784363,2.186349697555265,23.506912800017744
crypto,2h,TRX/USD,CDLXSIDEGAP3METHODS,vector-reference,gross,28737,False,10005.464378987195,10005.46437898717,2.5451943742984812e-15,True,,,,
crypto,2h,TRX/USD,CDLXSIDEGAP3METHODS,vector-reference,binance,28737,False,7082.055297740374,7082.055297740359,2.183181192481367e-15,True,,,,
crypto,2h,TRX/USD,CDLXSIDEGAP3METHODS,vector-reference,coinbase,28737,False,1419.503032150381,1419.5030321503673,9.610701927087386e-15,True,,,,
crypto,2h,TRX/USD,CDLXSIDEGAP3METHODS,vector-reference,kraken,28737,False,766.0906370351246,766.0906370351248,2.96797355888853e-16,True,,,,
crypto,2h,TRX/USD,CDLXSIDEGAP3METHODS,vector-nautilus,gross,20000,True,10967.02421248876,10899.66,0.0061424330961218875,False,1270.0,67.36421248876104,0.5345558904361638,1.2650679000653327
crypto,2h,BTC/USD,KAMA_1000,vector-reference,gross,28771,False,68290.88126001753,68290.88126001878,1.8325502417732383e-14,True,,,,
crypto,2h,BTC/USD,KAMA_1000,vector-reference,binance,28771,False,10456.741073181363,10456.741073181103,2.4875387358895968e-14,True,,,,
crypto,2h,BTC/USD,KAMA_1000,vector-reference,coinbase,28771,False,1.648236586962478,1.6482365869624451,1.993803668044253e-14,True,,,,
crypto,2h,BTC/USD,KAMA_1000,vector-reference,kraken,28771,False,0.056580181971425274,0.056580181971424184,1.925420359135005e-14,True,,,,
crypto,2h,BTC/USD,KAMA_1000,vector-nautilus,gross,20000,True,61890.42417408928,61882.97,0.00012044147683192973,False,18792.0,7.454174089281878,2.056258738583255,8.968884599860758
crypto,2h,LINK/USD,LINEARREG_100,vector-reference,gross,28727,False,4469.143724216419,4469.143724216432,2.8490750377587017e-15,True,,,,
crypto,2h,LINK/USD,LINEARREG_100,vector-reference,binance,28727,False,33.102344453689156,33.102344453687834,3.9924951248175105e-14,True,,,,
crypto,2h,LINK/USD,LINEARREG_100,vector-reference,coinbase,28727,False,3.8003745852539244e-09,3.800374585253659e-09,6.986810659660256e-14,True,,,,
crypto,2h,LINK/USD,LINEARREG_100,vector-reference,kraken,28727,False,5.643900875234732e-13,5.6439008752346e-13,1.3227619658745926e-14,True,,,,
crypto,2h,LINK/USD,LINEARREG_100,vector-nautilus,gross,20000,True,13926.199777914688,13921.17,0.0003611737584480363,False,21292.0,5.0297779146876564,2.1887667760636353,15.729272299911827
crypto,1h,BNB/USD,EMA_9,vector-reference,gross,57501,False,7979.260931809709,7979.260931809892,2.2910447047492798e-14,True,,,,
crypto,1h,BNB/USD,EMA_9,vector-reference,binance,57501,False,1.8141298569743764e-08,1.814129856973951e-08,2.3454864901845183e-13,True,,,,
crypto,1h,BNB/USD,EMA_9,vector-reference,coinbase,57501,False,8.63290154875021e-63,8.632901548746908e-63,3.302254951254238e-63,True,,,,
